期号,中奖号码,总和,开奖日期
24135,891,18,2024-05-24
24134,660,12,2024-05-23
24133,281,11,2024-05-22
24132,604,10,2024-05-21
24131,571,13,2024-05-20
24130,122,5,2024-05-19
24129,278,17,2024-05-18
24128,17,8,2024-05-17
24127,744,15,2024-05-16
24126,379,19,2024-05-15
24125,706,13,2024-05-14
24124,835,16,2024-05-13
24123,538,16,2024-05-12
24122,246,12,2024-05-11
24121,518,14,2024-05-10
24120,529,16,2024-05-09
24119,255,12,2024-05-08
24118,733,13,2024-05-07
24117,185,14,2024-05-06
24116,348,15,2024-05-05
24115,620,8,2024-05-04
24114,548,17,2024-05-03
24113,345,12,2024-05-02
24112,218,11,2024-05-01
24111,336,12,2024-04-30
24110,629,17,2024-04-29
24109,243,9,2024-04-28
24108,252,9,2024-04-27
24107,499,22,2024-04-26
24106,533,11,2024-04-25
24105,210,3,2024-04-24
24104,474,15,2024-04-23
24103,551,11,2024-04-22
24102,215,8,2024-04-21
24101,30,3,2024-04-20
24100,157,13,2024-04-19
24099,102,3,2024-04-18
24098,247,13,2024-04-17
24097,863,17,2024-04-16
24096,463,13,2024-04-15
24095,175,13,2024-04-14
24094,271,10,2024-04-13
24093,935,17,2024-04-12
24092,150,6,2024-04-11
24091,196,16,2024-04-10
24090,206,8,2024-04-09
24089,117,9,2024-04-08
24088,819,18,2024-04-07
24087,161,8,2024-04-06
24086,278,17,2024-04-05
24085,493,16,2024-04-04
24084,549,18,2024-04-03
24083,232,7,2024-04-02
24082,571,13,2024-04-01
24081,928,19,2024-03-31
24080,12,3,2024-03-30
24079,889,25,2024-03-29
24078,126,9,2024-03-28
24077,626,14,2024-03-27
24076,968,23,2024-03-26
24075,285,15,2024-03-25
24074,629,17,2024-03-24
24073,590,14,2024-03-23
24072,341,8,2024-03-22
24071,258,15,2024-03-21
24070,891,18,2024-03-20
24069,411,6,2024-03-19
24068,239,14,2024-03-18
24067,549,18,2024-03-17
24066,803,11,2024-03-16
24065,903,12,2024-03-15
24064,132,6,2024-03-14
24063,651,12,2024-03-13
24062,784,19,2024-03-12
24061,250,7,2024-03-11
24060,357,15,2024-03-10
24059,629,17,2024-03-09
24058,65,11,2024-03-08
24057,765,18,2024-03-07
24056,788,23,2024-03-06
24055,173,11,2024-03-05
24054,221,5,2024-03-04
24053,958,22,2024-03-03
24052,995,23,2024-03-02
24051,674,17,2024-03-01
